storeId,storeName,dateCreated,itemsTotal,shipping,dutyTaxes,grandTotal,country
10,C-3PO,2020-11-01 3:28:38,192.2,19.78,24.99,236.97,CA
9,Darth Vader,2020-11-01 3:47:44,64.4,0,8.68,73.08,CA
2,Chewbacca,2020-11-01 4:17:07,63.42,12.25,0,75.67,CA
9,Darth Vader,2020-11-01 4:17:42,44.75,0,10.02,54.77,CA
5,Princess Leia,2020-11-01 4:23:37,28,6.99,0,34.99,CA
9,Darth Vader,2020-11-01 4:32:20,47.93,0,2.57,50.5,CA
3,Obi-Wan Kenobi,2020-11-01 4:39:19,89.95,52.84,21.21,164,CA
5,Princess Leia,2020-11-01 4:41:45,94.35,7.99,13.32,115.66,CA
5,Princess Leia,2020-11-01 4:43:01,86,9.99,0,95.99,AU
9,Darth Vader,2020-11-01 4:44:48,115.5,0,11.45,126.95,CA
3,Obi-Wan Kenobi,2020-11-01 5:05:58,87.8,79.64,0,167.44,AU
9,Darth Vader,2020-11-01 5:20:01,101.53,0,14.23,115.76,CA
10,C-3PO,2020-11-01 5:21:36,100.2,31.4,0,131.6,AE
5,Princess Leia,2020-11-01 5:31:19,12.6,7.99,0,20.59,FR
5,Princess Leia,2020-11-01 5:31:29,39.6,7.99,0,47.59,FI
5,Princess Leia,2020-11-01 5:31:51,12.6,14.99,0,27.59,PL
7,Wedge Antilles,2020-11-01 5:36:04,120,30,0,150,AU
9,Darth Vader,2020-11-01 5:44:22,89.25,0,4.73,93.98,CA
10,C-3PO,2020-11-01 5:51:32,130,25.68,0,155.68,AE
9,Darth Vader,2020-11-01 5:56:14,40,10,0,50,JP
5,Princess Leia,2020-11-01 6:00:44,78,9.99,0,87.99,AU
10,C-3PO,2020-11-01 6:04:52,234,21.84,0,255.84,AU
5,Princess Leia,2020-11-01 6:13:26,97.15,9.99,0,107.14,FR
9,Darth Vader,2020-11-01 6:23:31,41.6,10,0,51.6,NZ
9,Darth Vader,2020-11-01 6:23:36,88,14.95,0,102.95,PE
9,Darth Vader,2020-11-01 6:36:03,163.03,0,58.67,221.7,CA
9,Darth Vader,2020-11-01 7:00:17,218.7,0,72.92,291.62,CA
5,Princess Leia,2020-11-01 7:38:37,43,7.99,0,50.99,FR
7,Wedge Antilles,2020-11-01 7:44:15,195,30,0,225,SG
3,Obi-Wan Kenobi,2020-11-01 7:45:59,62.4,37.83,36.06,136.29,DK
5,Princess Leia,2020-11-01 7:47:36,76,7.99,0,83.99,FR
5,Princess Leia,2020-11-01 7:49:04,200,8.99,0,208.99,FR
5,Princess Leia,2020-11-01 7:52:00,137,14.99,0,151.99,DE
5,Princess Leia,2020-11-01 8:09:03,23.8,7.99,0,31.79,FR
10,C-3PO,2020-11-01 8:13:49,445.6,34.99,53.47,534.06,CA
9,Darth Vader,2020-11-01 8:14:54,106,10,14.16,130.16,CA
3,Obi-Wan Kenobi,2020-11-01 8:15:37,79.95,78.94,0,158.89,NL
5,Princess Leia,2020-11-01 8:15:58,36,13.99,0,49.99,IT
10,C-3PO,2020-11-01 8:20:26,103.1,25.5,27.01,155.61,IE
5,Princess Leia,2020-11-01 8:26:39,50,7.99,0,57.99,FR
5,Princess Leia,2020-11-01 8:31:01,38.25,6.99,0,45.24,AU
5,Princess Leia,2020-11-01 8:32:13,28,13.99,0,41.99,NL
9,Darth Vader,2020-11-01 8:37:27,61.88,0,14.56,76.44,ES
5,Princess Leia,2020-11-01 8:38:43,196.2,9.99,0,206.19,FR
5,Princess Leia,2020-11-01 8:38:58,124.1,7.99,0,132.09,FR
5,Princess Leia,2020-11-01 8:53:01,28,7.99,0,35.99,FR
9,Darth Vader,2020-11-01 8:53:12,82.91,14.95,19.41,117.27,CY
5,Princess Leia,2020-11-01 8:58:58,73,7.99,0,80.99,FR
5,Princess Leia,2020-11-01 9:05:47,72.4,8.99,0,81.39,FR
5,Princess Leia,2020-11-01 9:07:52,41,6.99,0,47.99,AU
5,Princess Leia,2020-11-01 9:13:20,78.2,6.99,19.79,104.98,GB
5,Princess Leia,2020-11-01 9:15:41,42.5,7.99,0,50.49,FR
5,Princess Leia,2020-11-01 9:22:10,95.75,6.99,23.42,126.16,GB
5,Princess Leia,2020-11-01 9:29:03,99,7.99,0,106.99,FR
10,C-3PO,2020-11-01 9:32:03,50,34.38,0,84.38,IL
9,Darth Vader,2020-11-01 9:32:15,110.63,0,26.05,136.68,ES
9,Darth Vader,2020-11-01 9:38:05,55.96,0,7.54,63.5,CA
5,Princess Leia,2020-11-01 9:38:36,34,7.99,0,41.99,ES
5,Princess Leia,2020-11-01 9:38:36,61.2,7.99,0,69.19,FR
5,Princess Leia,2020-11-01 9:40:03,188,15.99,0,203.99,DE
3,Obi-Wan Kenobi,2020-11-01 9:40:22,464.05,128.37,116.5,708.92,DE
5,Princess Leia,2020-11-01 9:40:58,123,9.99,0,132.99,AU
5,Princess Leia,2020-11-01 9:44:21,28,5.99,6.8,40.79,GB
5,Princess Leia,2020-11-01 9:45:58,19,13.99,0,32.99,PL
5,Princess Leia,2020-11-01 9:49:47,38,7.99,0,45.99,FR
5,Princess Leia,2020-11-01 9:52:34,28,5.99,6.8,40.79,GB
5,Princess Leia,2020-11-01 9:55:49,99,19.99,0,118.99,HU
5,Princess Leia,2020-11-01 9:58:09,99,7.99,0,106.99,CZ
5,Princess Leia,2020-11-01 9:58:24,132,8.99,0,140.99,FR
9,Darth Vader,2020-11-01 10:00:03,110.79,0,18.83,129.62,DE
5,Princess Leia,2020-11-01 10:00:57,99,19.99,0,118.99,HU
9,Darth Vader,2020-11-01 10:02:38,22.4,14.95,0,37.35,CZ
5,Princess Leia,2020-11-01 10:02:50,10,7.99,0,17.99,FR
9,Darth Vader,2020-11-01 10:08:32,161.1,24.95,0,186.05,SA
3,Obi-Wan Kenobi,2020-11-01 10:19:47,11.95,27.59,0,39.54,DE
9,Darth Vader,2020-11-01 10:26:00,206.05,14.95,0,221,EG
5,Princess Leia,2020-11-01 10:26:42,38,7.99,0,45.99,SE
5,Princess Leia,2020-11-01 10:28:23,22,7.99,0,29.99,FR
5,Princess Leia,2020-11-01 10:31:45,20.4,7.99,0,28.39,FR
3,Obi-Wan Kenobi,2020-11-01 10:31:47,142.2,62.96,25.25,230.41,JP
7,Wedge Antilles,2020-11-01 10:33:19,60.8,30,0,90.8,AU
9,Darth Vader,2020-11-01 10:36:57,111.6,0,38.4,150,GB
5,Princess Leia,2020-11-01 10:47:08,15,7.99,0,22.99,FR
4,Wilhuff Tarkin,2020-11-01 10:48:02,58,19.95,0,77.95,NO
9,Darth Vader,2020-11-01 10:51:36,52.02,0,16.03,68.05,GB
9,Darth Vader,2020-11-01 10:52:06,204.86,0,81.31,286.17,IE
5,Princess Leia,2020-11-01 10:52:29,70,6.99,0,76.99,AU
10,C-3PO,2020-11-01 10:52:34,207.2,51.64,23.3,282.14,GL
5,Princess Leia,2020-11-01 10:52:50,129.2,8.99,0,138.19,FR
5,Princess Leia,2020-11-01 10:53:50,39,7.99,0,46.99,FR
9,Darth Vader,2020-11-01 10:53:59,94.5,10,0,104.5,AU
5,Princess Leia,2020-11-01 10:56:02,30,7.99,0,37.99,FR
5,Princess Leia,2020-11-01 11:01:59,26,7.99,0,33.99,FR
5,Princess Leia,2020-11-01 11:03:25,49,7.99,0,56.99,FR
5,Princess Leia,2020-11-01 11:05:37,40,19.99,0,59.99,BE
5,Princess Leia,2020-11-01 11:07:29,124,19.99,0,143.99,LU
5,Princess Leia,2020-11-01 11:12:38,110.5,5.99,27.19,143.68,GB
4,Wilhuff Tarkin,2020-11-01 11:14:53,67,19.95,0,86.95,AU
5,Princess Leia,2020-11-01 11:16:24,23.8,7.99,0,31.79,FR
5,Princess Leia,2020-11-01 11:16:38,28,19.99,0,47.99,DK
9,Darth Vader,2020-11-01 11:20:58,53,14.95,0,67.95,IL
9,Darth Vader,2020-11-01 11:21:37,112,10,0,122,SG
3,Obi-Wan Kenobi,2020-11-01 11:25:41,70.65,31.58,19.56,121.79,CA
5,Princess Leia,2020-11-01 11:26:45,43.3,7.99,0,51.29,FR
9,Darth Vader,2020-11-01 11:30:50,111.6,10,0,121.6,HK
5,Princess Leia,2020-11-01 11:37:47,40,7.99,0,47.99,ES
5,Princess Leia,2020-11-01 11:51:10,124,7.99,0,131.99,FR
4,Wilhuff Tarkin,2020-11-01 11:53:02,115.2,55.95,38.63,209.78,NL
5,Princess Leia,2020-11-01 11:53:09,27,7.99,0,34.99,FR
5,Princess Leia,2020-11-01 11:56:18,46,7.99,0,53.99,FR
5,Princess Leia,2020-11-01 11:57:40,30.05,7.99,0,38.04,FR
5,Princess Leia,2020-11-01 11:57:48,49.3,13.99,0,63.29,PL
9,Darth Vader,2020-11-01 11:58:08,72.5,10,0,82.5,HK
9,Darth Vader,2020-11-01 11:58:18,33.6,10,0,43.6,AU
5,Princess Leia,2020-11-01 12:00:51,37.4,7.99,0,45.39,FR
5,Princess Leia,2020-11-01 12:04:33,28,6.99,0,34.99,AU
9,Darth Vader,2020-11-01 12:06:44,484.95,14.95,76.7,576.6,IL
10,C-3PO,2020-11-01 12:07:04,58,20.83,16.55,95.38,BE
5,Princess Leia,2020-11-01 12:07:05,83,7.99,0,90.99,FR
5,Princess Leia,2020-11-01 12:07:52,23.8,6.99,0,30.79,AU
5,Princess Leia,2020-11-01 12:12:02,47.6,7.99,0,55.59,FR
5,Princess Leia,2020-11-01 12:13:03,170.2,9.99,0,180.19,FR
9,Darth Vader,2020-11-01 12:14:47,270.4,0,108.06,378.46,IE
5,Princess Leia,2020-11-01 12:15:54,56.95,13.99,0,70.94,PL
5,Princess Leia,2020-11-01 12:16:22,15,5.99,0,20.99,GB
5,Princess Leia,2020-11-01 12:18:00,39.1,7.99,0,47.09,FR
7,Wedge Antilles,2020-11-01 12:19:42,160,30,0,190,SG
9,Darth Vader,2020-11-01 12:19:51,147.11,0,50.01,197.12,CA
5,Princess Leia,2020-11-01 12:22:28,23.8,13.99,0,37.79,NL
5,Princess Leia,2020-11-01 12:28:12,85.8,7.99,0,93.79,FR
3,Obi-Wan Kenobi,2020-11-01 12:35:20,34.9,25.19,15.53,75.62,CA
9,Darth Vader,2020-11-01 12:36:18,60.17,0,7.03,67.2,CA
9,Darth Vader,2020-11-01 12:37:10,24.84,6.99,9.02,40.85,GB
5,Princess Leia,2020-11-01 12:39:11,30,13.99,0,43.99,PL
5,Princess Leia,2020-11-01 12:42:03,70,8.99,0,78.99,FR
5,Princess Leia,2020-11-01 12:42:32,42.8,5.99,10.6,59.39,GB
5,Princess Leia,2020-11-01 12:43:35,34,7.99,0,41.99,FR
5,Princess Leia,2020-11-01 12:46:27,28,7.99,0,35.99,FR
3,Obi-Wan Kenobi,2020-11-01 12:51:25,343.75,155.78,46.92,546.45,JP
5,Princess Leia,2020-11-01 12:57:38,60,5.99,13.2,79.19,GB
5,Princess Leia,2020-11-01 13:00:19,101.15,7.99,0,109.14,FR
5,Princess Leia,2020-11-01 13:02:13,20,7.99,0,27.99,FR
4,Wilhuff Tarkin,2020-11-01 13:03:16,48,19.95,6.8,74.75,MY
5,Princess Leia,2020-11-01 13:03:23,168.65,9.99,0,178.64,FR
3,Obi-Wan Kenobi,2020-11-01 13:05:25,398.7,87.98,0,486.68,CA
5,Princess Leia,2020-11-01 13:08:05,83.4,7.99,0,91.39,FR
5,Princess Leia,2020-11-01 13:08:54,65,7.99,0,72.99,FR
3,Obi-Wan Kenobi,2020-11-01 13:13:22,119.8,81.63,0,201.43,GB
5,Princess Leia,2020-11-01 13:14:22,34,7.99,0,41.99,ES
5,Princess Leia,2020-11-01 13:15:24,79.6,7.99,0,87.59,FR
5,Princess Leia,2020-11-01 13:17:20,109,8.99,0,117.99,FR
9,Darth Vader,2020-11-01 13:20:26,76.7,0,8.96,85.66,CA
10,C-3PO,2020-11-01 13:20:48,144.4,19.78,18.78,182.96,CA
10,C-3PO,2020-11-01 13:21:57,58,20.83,17.34,96.17,IT
5,Princess Leia,2020-11-01 13:24:24,38,7.99,0,45.99,FR
9,Darth Vader,2020-11-01 13:25:14,101.54,0,13.17,114.71,CA
5,Princess Leia,2020-11-01 13:27:26,99,7.99,0,106.99,FR
5,Princess Leia,2020-11-01 13:27:27,65.15,7.99,0,73.14,FR
3,Obi-Wan Kenobi,2020-11-01 13:29:11,919.9,161.33,339.5,1420.73,FI
5,Princess Leia,2020-11-01 13:30:14,55.5,7.99,0,63.49,FR
5,Princess Leia,2020-11-01 13:36:43,68,5.99,14.79,88.78,GB
5,Princess Leia,2020-11-01 13:37:23,15.3,7.99,0,23.29,FR
9,Darth Vader,2020-11-01 13:47:36,95.62,0,21.19,116.81,IE
9,Darth Vader,2020-11-01 13:47:41,69.05,0,9.92,78.97,DE
5,Princess Leia,2020-11-01 13:47:45,51,7.99,0,58.99,FR
5,Princess Leia,2020-11-01 13:48:28,131,14.99,0,145.99,DE
9,Darth Vader,2020-11-01 13:50:37,82.37,0,17.44,99.81,BE
5,Princess Leia,2020-11-01 13:51:32,28,7.99,0,35.99,FR
5,Princess Leia,2020-11-01 13:51:38,46.75,7.99,0,54.74,FR
5,Princess Leia,2020-11-01 13:51:42,28,7.99,0,35.99,FR
5,Princess Leia,2020-11-01 13:52:17,40,7.99,0,47.99,ES
10,C-3PO,2020-11-01 13:53:23,35,15.88,4.55,55.43,CA
5,Princess Leia,2020-11-01 13:53:30,47,7.99,0,54.99,FR
5,Princess Leia,2020-11-01 13:56:28,78,8.99,0,86.99,FR
5,Princess Leia,2020-11-01 13:57:46,58.1,13.99,0,72.09,PL
5,Princess Leia,2020-11-01 14:01:36,50.8,7.99,0,58.79,FR
5,Princess Leia,2020-11-01 14:05:09,25,7.99,0,32.99,FR
5,Princess Leia,2020-11-01 14:06:22,28,7.99,0,35.99,FR
5,Princess Leia,2020-11-01 14:07:39,38,7.99,0,45.99,FR
5,Princess Leia,2020-11-01 14:11:08,15,7.99,0,22.99,FR
5,Princess Leia,2020-11-01 14:14:28,88,7.99,0,95.99,FR
9,Darth Vader,2020-11-01 14:14:46,78,0,17.56,95.56,DK
3,Obi-Wan Kenobi,2020-11-01 14:15:40,49.85,49.97,30.76,130.58,GB
5,Princess Leia,2020-11-01 14:16:20,66.6,7.99,0,74.59,FR
5,Princess Leia,2020-11-01 14:22:14,55,7.99,0,62.99,FR
5,Princess Leia,2020-11-01 14:23:30,83.3,14.99,0,98.29,PT
9,Darth Vader,2020-11-01 14:24:34,80.74,0,11.6,92.34,DE
5,Princess Leia,2020-11-01 14:24:51,35.7,13.99,0,49.69,IT
5,Princess Leia,2020-11-01 14:27:04,143,8.99,0,151.99,FR
5,Princess Leia,2020-11-01 14:27:13,56,5.99,12.4,74.39,GB
9,Darth Vader,2020-11-01 14:30:58,55.03,0,10.38,65.41,IE
5,Princess Leia,2020-11-01 14:33:30,52.7,7.99,0,60.69,FR
9,Darth Vader,2020-11-01 14:35:18,51.68,0,12.36,64.04,FI
3,Obi-Wan Kenobi,2020-11-01 14:35:50,119.8,66.26,0,186.06,CL
9,Darth Vader,2020-11-01 14:37:23,83,0,11.47,94.47,CA
3,Obi-Wan Kenobi,2020-11-01 14:37:34,27.75,34.04,26.14,87.93,DK
4,Wilhuff Tarkin,2020-11-01 14:39:57,160.65,31.95,45.16,237.76,CA
9,Darth Vader,2020-11-01 14:40:42,81.26,0,11.85,93.11,CA
5,Princess Leia,2020-11-01 14:42:00,49,7.99,0,56.99,FR
3,Obi-Wan Kenobi,2020-11-01 14:44:18,23.95,24.97,0,48.92,CA
9,Darth Vader,2020-11-01 14:44:51,65.63,0,15.45,81.08,IE
9,Darth Vader,2020-11-01 14:47:03,66.21,0,9.66,75.87,CA
9,Darth Vader,2020-11-01 14:48:44,68.92,0,21.24,90.16,GB
9,Darth Vader,2020-11-01 14:49:09,341,14.95,0,355.95,AE
9,Darth Vader,2020-11-01 14:49:33,26.4,6.99,0,33.39,NO
9,Darth Vader,2020-11-01 14:56:21,42.4,0,7.15,49.55,CA
9,Darth Vader,2020-11-01 14:59:22,150.79,0,10.44,161.23,CH
5,Princess Leia,2020-11-01 14:59:48,85,19.99,0,104.99,BE
5,Princess Leia,2020-11-01 15:02:56,59,7.99,0,66.99,FR
5,Princess Leia,2020-11-01 15:04:26,55,7.99,0,62.99,FR
5,Princess Leia,2020-11-01 15:05:13,99,7.99,0,106.99,FR
5,Princess Leia,2020-11-01 15:07:33,39.4,7.99,0,47.39,FR
3,Obi-Wan Kenobi,2020-11-01 15:07:33,19.95,26.92,0,46.87,CA
5,Princess Leia,2020-11-01 15:11:43,268,15.99,0,283.99,PT
9,Darth Vader,2020-11-01 15:13:21,61.93,14.95,0,76.88,US
9,Darth Vader,2020-11-01 15:16:28,75.94,0,17.88,93.82,NL
2,Chewbacca,2020-11-01 15:16:37,308.88,31.91,40,380.79,CA
5,Princess Leia,2020-11-01 15:18:47,88,13.99,0,101.99,PT
8,Luke Skywalker,2020-11-01 15:19:30,174,18.67,62.96,255.63,CA
9,Darth Vader,2020-11-01 15:20:25,88,0,20.79,108.79,IE
3,Obi-Wan Kenobi,2020-11-01 15:21:13,21.75,24.93,0,46.68,CA
4,Wilhuff Tarkin,2020-11-01 15:21:42,98,31.95,11.76,141.71,CA
9,Darth Vader,2020-11-01 15:22:03,82.5,0,19.42,101.92,BE
3,Obi-Wan Kenobi,2020-11-01 15:22:05,69.75,28.9,13.76,112.41,CA
5,Princess Leia,2020-11-01 15:23:08,22.1,7.99,0,30.09,FR
3,Obi-Wan Kenobi,2020-11-01 15:26:04,354.4,161.59,103.2,619.19,DE
5,Princess Leia,2020-11-01 15:28:31,60,13.99,0,73.99,PT
5,Princess Leia,2020-11-01 15:29:06,34.2,13.99,0,48.19,DE
5,Princess Leia,2020-11-01 15:30:16,18,7.99,0,25.99,FR
10,C-3PO,2020-11-01 15:32:22,171,29.7,0,200.7,PH
9,Darth Vader,2020-11-01 15:33:48,145.97,0,29.85,175.82,FR
2,Chewbacca,2020-11-01 15:35:07,1069.46,53.96,178.08,1301.5,CA
3,Obi-Wan Kenobi,2020-11-01 15:35:28,177.7,53.11,60.18,290.99,FR
5,Princess Leia,2020-11-01 15:35:51,121.1,20.99,0,142.09,BE
2,Chewbacca,2020-11-01 15:38:36,61.74,12.25,0,73.99,CA
9,Darth Vader,2020-11-01 15:42:43,124.13,0,23.4,147.53,IE
3,Obi-Wan Kenobi,2020-11-01 15:45:35,2741.6,711.17,841,4293.77,PT
5,Princess Leia,2020-11-01 15:46:07,119.85,7.99,0,127.84,FR
5,Princess Leia,2020-11-01 15:49:19,49,7.99,0,56.99,FR
5,Princess Leia,2020-11-01 15:49:55,98.6,7.99,0,106.59,FR
5,Princess Leia,2020-11-01 15:52:19,116,8.99,0,124.99,FR
5,Princess Leia,2020-11-01 15:52:58,99,13.99,0,112.99,IT
3,Obi-Wan Kenobi,2020-11-01 15:53:31,135.75,64.92,28.22,228.89,CA
4,Wilhuff Tarkin,2020-11-01 15:57:24,163.8,27.95,0,191.75,CL
5,Princess Leia,2020-11-01 15:57:28,271,9.99,0,280.99,FR
5,Princess Leia,2020-11-01 15:58:14,61,7.99,0,68.99,FR
2,Chewbacca,2020-11-01 15:58:27,61.74,12.25,0,73.99,CA
5,Princess Leia,2020-11-01 15:58:34,23,7.99,0,30.99,FR
5,Princess Leia,2020-11-01 16:00:42,50.15,7.99,0,58.14,FR
7,Wedge Antilles,2020-11-01 16:00:54,630,75,145.5,850.5,CA
5,Princess Leia,2020-11-01 16:01:32,107.5,8.99,0,116.49,HR
9,Darth Vader,2020-11-01 16:04:27,80,0,11.52,91.52,DE
9,Darth Vader,2020-11-01 16:07:18,64.69,0,8.7,73.39,CA
5,Princess Leia,2020-11-01 16:10:09,48.45,13.99,0,62.44,PL
9,Darth Vader,2020-11-01 16:12:03,37,6.99,6.45,50.44,DE
5,Princess Leia,2020-11-01 16:12:15,34,7.99,0,41.99,FR
5,Princess Leia,2020-11-01 16:12:59,39,7.99,0,46.99,FR
9,Darth Vader,2020-11-01 16:14:38,66.2,0,8.91,75.11,CA
5,Princess Leia,2020-11-01 16:15:13,11.9,7.99,0,19.89,FR
5,Princess Leia,2020-11-01 16:15:19,16.15,7.99,0,24.14,FR
8,Luke Skywalker,2020-11-01 16:15:29,168,15.38,0,183.38,SG
10,C-3PO,2020-11-01 16:17:45,364.8,22.86,18.24,405.9,CA
9,Darth Vader,2020-11-01 16:17:59,69.22,0,10.1,79.32,CA
9,Darth Vader,2020-11-01 16:18:00,80.79,0,14.49,95.28,FR
9,Darth Vader,2020-11-01 16:18:40,112.68,0,5.08,117.76,CA
5,Princess Leia,2020-11-01 16:19:38,65,19.99,0,84.99,DK
9,Darth Vader,2020-11-01 16:20:34,128.33,0,46.48,174.81,GB
5,Princess Leia,2020-11-01 16:22:40,51,7.99,0,58.99,FR
9,Darth Vader,2020-11-01 16:24:34,184.8,14.95,0,199.75,BM
5,Princess Leia,2020-11-01 16:24:57,79.9,7.99,0,87.89,FR
2,Chewbacca,2020-11-01 16:25:08,184.99,20.75,0,205.74,CA
3,Obi-Wan Kenobi,2020-11-01 16:28:45,59.4,76.2,17.09,152.69,AE
5,Princess Leia,2020-11-01 16:30:44,22.95,7.99,0,30.94,FR
3,Obi-Wan Kenobi,2020-11-01 16:31:49,14.1,27.63,18.81,60.54,FR
2,Chewbacca,2020-11-01 16:32:38,144.45,20.75,0,165.2,CA
5,Princess Leia,2020-11-01 16:33:21,92.65,8.99,0,101.64,FR
9,Darth Vader,2020-11-01 16:35:59,40,10,0,50,SG
9,Darth Vader,2020-11-01 16:36:05,38.4,6.99,5.62,51.01,CA
5,Princess Leia,2020-11-01 16:38:01,124,8.99,0,132.99,FR
9,Darth Vader,2020-11-01 16:40:35,54.09,0,2.43,56.52,CA
5,Princess Leia,2020-11-01 16:41:22,33,7.99,0,40.99,FR
9,Darth Vader,2020-11-01 16:42:30,158.02,0,25.21,183.23,DE
5,Princess Leia,2020-11-01 16:43:51,20,7.99,0,27.99,FR
5,Princess Leia,2020-11-01 16:46:47,107.1,7.99,0,115.09,FR
5,Princess Leia,2020-11-01 16:46:53,37,7.99,0,44.99,FR
5,Princess Leia,2020-11-01 16:47:02,66.8,7.99,0,74.79,FR
5,Princess Leia,2020-11-01 16:48:39,62.9,6.99,16.21,86.1,GB
9,Darth Vader,2020-11-01 16:49:06,173,14.95,29.01,216.96,IL
5,Princess Leia,2020-11-01 16:50:41,109,8.99,0,117.99,CZ
9,Darth Vader,2020-11-01 16:52:57,174.27,0,53.7,227.97,GB
9,Darth Vader,2020-11-01 16:53:39,124.59,0,22.36,146.95,DE
5,Princess Leia,2020-11-01 16:56:27,180.6,6.99,44.96,232.55,GB
9,Darth Vader,2020-11-01 16:56:57,91.27,0,13.12,104.39,DE
3,Obi-Wan Kenobi,2020-11-01 16:57:12,35.8,27.24,14.22,77.26,CA
2,Chewbacca,2020-11-01 16:57:30,277.29,32.97,35.91,346.17,CA
5,Princess Leia,2020-11-01 16:59:09,40.08,7.99,0,48.07,FR
9,Darth Vader,2020-11-01 16:59:27,49.79,0,18.03,67.82,GB
9,Darth Vader,2020-11-01 17:02:10,148,0,55.51,203.51,CA
2,Chewbacca,2020-11-01 17:06:22,184.99,20.75,0,205.74,CA
5,Princess Leia,2020-11-01 17:10:41,94,7.99,0,101.99,FR
9,Darth Vader,2020-11-01 17:10:56,38.54,6.99,8.01,53.54,DE
8,Luke Skywalker,2020-11-01 17:11:13,646.5,0,0,646.5,FR
9,Darth Vader,2020-11-01 17:12:46,44.06,0,10.37,54.43,IE
5,Princess Leia,2020-11-01 17:13:45,28.05,7.99,0,36.04,ES
5,Princess Leia,2020-11-01 17:14:43,99,7.99,0,106.99,FR
5,Princess Leia,2020-11-01 17:15:28,71.4,7.99,0,79.39,FR
5,Princess Leia,2020-11-01 17:16:07,19,7.99,0,26.99,CZ
9,Darth Vader,2020-11-01 17:16:31,128,0,48.04,176.04,CA
9,Darth Vader,2020-11-01 17:17:25,13.5,6.99,0,20.49,NO
